Date,Close/Last,Volume,Open,High,Low
1/09/2020,0.559249,--,0.562008,0.5622,0.559249
1/08/2020,0.570784,--,0.570073,0.571767,0.56718
1/07/2020,0.601208,--,0.593256,0.603416,0.590932
1/06/2020,0.571501,--,0.572862,0.575643,0.567298
1/03/2020,0.524158,--,0.528503,0.532542,0.494001
1/02/2020,0.498188,--,0.49925,0.499269,0.49718
12/31/2019,0.516857,--,0.514121,0.516942,0.513654
12/30/2019,0.520278,--,0.517929,0.521493,0.517807
12/27/2019,0.517679,--,0.512294,0.518901,0.502606
12/26/2019,0.513754,--,0.514088,0.514898,0.513143
12/24/2019,0.515449,--,0.516929,0.517138,0.513944
